Customer ID,Customer Name,Last_Order_Date,Frequency,Monetary,Recency,R,F,M,RFM_Score,Segment
AA-10315,Alex Avila,2015-03-31,5,5563.56,1370,1,2,4,124,Others
AA-10375,Allen Armold,2015-10-24,9,1056.39,1163,1,4,1,141,Others
AA-10480,Andrew Allen,2017-08-26,4,1790.51,491,3,1,2,312,Potential
AA-10645,Anna Andreadi,2015-06-22,6,5086.94,1287,1,2,4,124,Others
AB-10015,Aaron Bergman,2015-02-18,3,886.16,1411,1,1,1,111,Others
AB-10060,Adam Bellavance,2017-08-29,8,7755.62,488,3,3,4,334,Others
AB-10105,Adrian Barton,2017-09-25,10,14473.57,461,3,4,4,344,Champions
AB-10150,Aimee Bixby,2017-01-31,5,966.71,698,2,2,1,221,At Risk
AB-10165,Alan Barnes,2018-03-30,8,1113.84,275,3,3,2,332,Others
AB-10255,Alejandro Ballentine,2017-06-26,9,914.53,552,2,4,1,241,Others
AB-10600,Ann Blume,2016-11-30,4,1515.86,760,2,1,2,212,At Risk
AC-10420,Alyssa Crouse,2017-02-23,3,925.8,675,2,1,1,211,At Risk
AC-10450,Amy Cox,2015-10-31,7,5527.85,1156,1,3,4,134,Others
AC-10615,Ann Chong,2018-12-24,5,2537.69,6,4,2,3,423,Others
AC-10660,Anna Chung,2017-06-27,5,657.32,551,2,2,1,221,At Risk
AD-10180,Alan Dominguez,2018-04-30,8,6106.88,244,4,3,4,434,Champions
AF-10870,Art Ferguson,2018-04-24,7,2052.91,250,3,3,2,332,Others
AF-10885,Art Foster,2016-10-13,4,861.57,808,2,1,1,211,At Risk
AG-10270,Alejandro Grove,2018-03-27,5,2582.9,278,3,2,3,323,Others
AG-10300,Aleksandra Gannaway,2015-04-26,4,367.55,1344,1,1,1,111,Others
AG-10330,Alex Grayson,2018-12-22,5,660.97,8,4,2,1,421,Others
AG-10390,Allen Goldenen,2017-11-20,5,200.95,405,3,2,1,321,Potential
AG-10495,Andrew Gjertsen,2016-10-26,7,1419.25,795,2,3,2,232,Others
AG-10525,Andy Gerbode,2015-08-09,4,1455.04,1239,1,1,2,112,Others
AG-10675,Anna Gayman,2018-07-29,7,3489.04,154,4,3,3,433,Others
AG-10765,Anthony Garverick,2015-09-17,4,170.58,1200,1,1,1,111,Others
AG-10900,Arthur Gainer,2016-12-27,10,4510.8,733,2,4,4,244,Others
AH-10030,Aaron Hawkins,2015-12-31,7,1744.7,1095,1,3,2,132,Others
AH-10075,Adam Hart,2018-11-26,10,3250.34,34,4,4,3,443,Champions
AH-10120,Adrian Hane,2018-10-31,7,1735.51,60,4,3,2,432,Others
AH-10195,Alan Haines,2018-08-24,4,1587.45,128,4,1,2,412,Others
AH-10210,Alan Hwang,2015-11-29,9,4805.34,1127,1,4,4,144,Others
AH-10465,Amy Hunt,2016-01-17,5,2495.39,1078,1,2,3,123,Others
AH-10585,Angele Hood,2015-10-26,4,738.5,1161,1,1,1,111,Others
AH-10690,Anna Häberlin,2016-12-31,12,7888.29,729,2,4,4,244,Others
AI-10855,Arianne Irving,2015-12-29,10,4375.79,1097,1,4,4,144,Others
AJ-10780,Anthony Jacobs,2015-10-31,7,4867.34,1156,1,3,4,134,Others
AJ-10795,Anthony Johnson,2015-12-29,7,4501.39,1097,1,3,4,134,Others
AJ-10945,Ashley Jarboe,2018-08-31,6,1829.9,121,4,2,2,422,Others
AJ-10960,Astrea Jones,2015-12-30,3,629.25,1096,1,1,1,111,Others
